danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.22,0.00528,1,-36.41,0,0.0457,0.995,0.944,0.129,0.304,74.434,audio_features,2AwWWyZxCRo9Wv2wnDbipX,spotify:track:2AwWWyZxCRo9Wv2wnDbipX,https://api.spotify.com/v1/tracks/2AwWWyZxCRo9Wv2wnDbipX,https://api.spotify.com/v1/audio-analysis/2AwWWyZxCRo9Wv2wnDbipX,362787,4
0.21,0.141,0,-15.641,1,0.0363,0.353,0.973,0.244,0.0381,98.395,audio_features,4ouD0eqeqpqYJvi08sAnBb,spotify:track:4ouD0eqeqpqYJvi08sAnBb,https://api.spotify.com/v1/tracks/4ouD0eqeqpqYJvi08sAnBb,https://api.spotify.com/v1/audio-analysis/4ouD0eqeqpqYJvi08sAnBb,119467,3
0.21,0.141,0,-15.641,1,0.0363,0.353,0.973,0.244,0.0381,98.395,audio_features,4ouD0eqeqpqYJvi08sAnBb,spotify:track:4ouD0eqeqpqYJvi08sAnBb,https://api.spotify.com/v1/tracks/4ouD0eqeqpqYJvi08sAnBb,https://api.spotify.com/v1/audio-analysis/4ouD0eqeqpqYJvi08sAnBb,119467,3
0.477,0.00612,5,-36.199,1,0.0587,0.996,0.943,0.0702,0.356,101.196,audio_features,6AKuZr1n24AAzcHU2SMqNr,spotify:track:6AKuZr1n24AAzcHU2SMqNr,https://api.spotify.com/v1/tracks/6AKuZr1n24AAzcHU2SMqNr,https://api.spotify.com/v1/audio-analysis/6AKuZr1n24AAzcHU2SMqNr,161600,3
0.388,0.231,4,-15.395,0,0.0321,0.921,0.968,0.118,0.533,139.654,audio_features,6eSFx8koqBbNTU8ws7BX0s,spotify:track:6eSFx8koqBbNTU8ws7BX0s,https://api.spotify.com/v1/tracks/6eSFx8koqBbNTU8ws7BX0s,https://api.spotify.com/v1/audio-analysis/6eSFx8koqBbNTU8ws7BX0s,125733,4
0.388,0.231,4,-15.395,0,0.0321,0.921,0.968,0.118,0.533,139.654,audio_features,6eSFx8koqBbNTU8ws7BX0s,spotify:track:6eSFx8koqBbNTU8ws7BX0s,https://api.spotify.com/v1/tracks/6eSFx8koqBbNTU8ws7BX0s,https://api.spotify.com/v1/audio-analysis/6eSFx8koqBbNTU8ws7BX0s,125733,4
0.388,0.231,4,-15.395,0,0.0321,0.921,0.968,0.118,0.533,139.654,audio_features,6eSFx8koqBbNTU8ws7BX0s,spotify:track:6eSFx8koqBbNTU8ws7BX0s,https://api.spotify.com/v1/tracks/6eSFx8koqBbNTU8ws7BX0s,https://api.spotify.com/v1/audio-analysis/6eSFx8koqBbNTU8ws7BX0s,125733,4
0.182,0.151,2,-22.745,1,0.0364,0.761,0.838,0.163,0.0468,90.488,audio_features,40cHwc449hRmhHLpJBALBq,spotify:track:40cHwc449hRmhHLpJBALBq,https://api.spotify.com/v1/tracks/40cHwc449hRmhHLpJBALBq,https://api.spotify.com/v1/audio-analysis/40cHwc449hRmhHLpJBALBq,343133,1
0.182,0.151,2,-22.745,1,0.0364,0.761,0.838,0.163,0.0468,90.488,audio_features,40cHwc449hRmhHLpJBALBq,spotify:track:40cHwc449hRmhHLpJBALBq,https://api.spotify.com/v1/tracks/40cHwc449hRmhHLpJBALBq,https://api.spotify.com/v1/audio-analysis/40cHwc449hRmhHLpJBALBq,343133,1
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,audio_features,28kuAL029d170iNXqaWS3A,spotify:track:28kuAL029d170iNXqaWS3A,https://api.spotify.com/v1/tracks/28kuAL029d170iNXqaWS3A,https://api.spotify.com/v1/audio-analysis/28kuAL029d170iNXqaWS3A,463067,4
