danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Clusters
0.22,0.00528,1,-36.41,0,0.0457,0.995,0.944,0.129,0.304,74.434,362787,4,0
0.21,0.141,0,-15.641,1,0.0363,0.353,0.973,0.244,0.0381,98.395,119467,3,6
0.21,0.141,0,-15.641,1,0.0363,0.353,0.973,0.244,0.0381,98.395,119467,3,6
0.477,0.00612,5,-36.199,1,0.0587,0.996,0.943,0.0702,0.356,101.196,161600,3,0
0.388,0.231,4,-15.395,0,0.0321,0.921,0.968,0.118,0.533,139.654,125733,4,0
0.388,0.231,4,-15.395,0,0.0321,0.921,0.968,0.118,0.533,139.654,125733,4,0
0.388,0.231,4,-15.395,0,0.0321,0.921,0.968,0.118,0.533,139.654,125733,4,0
0.182,0.151,2,-22.745,1,0.0364,0.761,0.838,0.163,0.0468,90.488,343133,1,6
0.182,0.151,2,-22.745,1,0.0364,0.761,0.838,0.163,0.0468,90.488,343133,1,6
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.302,0.059,5,-24.345,1,0.0445,0.982,0.822,0.117,0.134,108.819,463067,4,0
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,301013,3,6
0.359,0.301,5,-18.633,0,0.0587,0.886,0.619,0.0361,0.0909,110.244,689907,3,6
0.292,0.322,7,-15.167,1,0.0347,0.907,0.735,0.126,0.108,99.624,296973,3,6
0.292,0.322,7,-15.167,1,0.0347,0.907,0.735,0.126,0.108,99.624,296973,3,6
0.507,0.301,11,-9.839,0,0.0839,0.352,0.000145,0.467,0.284,121.891,346658,3,6
0.922,0.12,10,-13.978,0,0.112,0.466,0.792,0.0986,0.453,116.091,212096,4,3
0.718,0.335,9,-9.778,1,0.0507,0.875,9.39e-06,0.245,0.155,140.015,206446,4,3
0.793,0.465,5,-8.134,0,0.271,0.648,0.000132,0.0871,0.898,141.85,193740,4,10
0.863,0.508,3,-7.349,0,0.0569,0.287,1.88e-05,0.0873,0.531,119.949,180000,4,5
0.802,0.186,10,-13.562,0,0.0676,0.734,0.366,0.101,0.225,128.081,153700,4,3
0.629,0.623,5,-7.317,0,0.0469,0.416,1.19e-05,0.383,0.541,94.996,277362,4,5
0.861,0.125,0,-16.482,1,0.0708,0.457,0.421,0.101,0.4,78.036,222115,4,3
0.43,0.228,10,-10.453,0,0.182,0.862,0.000387,0.116,0.15,66.044,103004,4,3
0.551,0.503,7,-6.678,0,0.17,0.0475,0.0,0.116,0.305,80.266,228147,4,7
0.554,0.519,4,-6.114,0,0.282,0.051,0.000415,0.0668,0.473,80.994,168816,4,10
0.684,0.332,5,-9.866,0,0.108,0.331,1.06e-06,0.307,0.315,129.989,240008,4,3
0.676,0.465,11,-12.193,0,0.0773,0.343,0.0,0.0711,0.362,127.911,202031,4,7
0.671,0.341,9,-11.833,1,0.319,0.496,0.0,0.126,0.383,80.292,150073,4,10
0.493,0.256,11,-11.735,1,0.0465,0.715,0.00257,0.102,0.0797,108.663,161093,4,3
0.469,0.249,6,-7.258,0,0.0501,0.628,0.000474,0.104,0.305,99.315,160032,3,6
0.874,0.558,5,-9.814,0,0.225,0.731,0.000638,0.106,0.451,118.021,164747,4,10
0.434,0.436,8,-10.245,1,0.283,0.325,4.06e-05,0.133,0.183,56.182,190002,4,10
0.703,0.48,5,-6.586,1,0.235,0.397,1.29e-05,0.129,0.355,79.994,180375,4,10
0.7,0.48,4,-6.093,1,0.224,0.45,0.568,0.106,0.167,81.061,161123,4,10
0.818,0.522,11,-7.611,0,0.0938,0.781,0.000222,0.263,0.559,105.981,167339,4,7
0.534,0.274,6,-14.13,0,0.0822,0.392,9.76e-05,0.168,0.0591,75.324,240629,4,3
0.807,0.56,9,-8.632,0,0.249,0.0933,3.61e-05,0.116,0.516,87.48,239520,4,10
0.671,0.531,4,-7.27,0,0.0333,0.591,0.0,0.154,0.425,79.997,220279,4,3
0.625,0.601,8,-5.068,0,0.0587,0.498,5e-06,0.117,0.276,75.071,266703,4,3
0.557,0.369,11,-11.368,0,0.245,0.637,0.0505,0.0916,0.396,76.938,228070,4,3
0.798,0.453,7,-5.859,0,0.0972,0.382,0.00276,0.0567,0.61,87.95,200353,4,5
0.294,0.375,6,-10.167,0,0.0445,0.458,0.0117,0.096,0.264,59.546,229286,4,3
0.741,0.495,8,-9.714,1,0.197,0.0708,9.43e-05,0.066,0.41,122.104,283079,4,10
0.864,0.436,10,-8.023,0,0.0369,0.0253,4.9e-06,0.074,0.189,97.977,182847,4,7
0.786,0.183,5,-9.898,0,0.2,0.913,0.000122,0.147,0.691,91.011,140117,4,3
0.423,0.363,10,-13.813,0,0.0581,0.451,1.72e-05,0.128,0.312,74.009,225405,4,3
0.675,0.386,11,-9.524,0,0.119,0.151,0.0148,0.113,0.336,135.954,219488,4,7
0.822,0.48,5,-8.529,1,0.0499,0.0213,0.546,0.0723,0.782,90.002,239000,4,1
0.647,0.226,5,-12.495,0,0.04,0.748,0.0136,0.119,0.612,180.303,191987,3,6
0.614,0.55,2,-6.493,0,0.0376,0.208,0.000156,0.0412,0.493,154.624,298251,4,5
0.492,0.428,1,-9.595,0,0.204,0.731,0.00193,0.0918,0.326,98.511,184889,3,6
0.794,0.424,2,-8.614,0,0.229,0.677,0.000594,0.314,0.748,100.084,202368,4,10
0.644,0.263,8,-10.555,1,0.0781,0.345,0.000267,0.0898,0.242,69.015,231685,4,3
0.819,0.515,2,-6.417,0,0.156,0.534,0.00238,0.108,0.356,90.019,195933,4,5
0.848,0.482,11,-7.028,1,0.0615,0.00535,0.000464,0.109,0.883,145.016,187056,4,1
0.539,0.734,5,-5.798,0,0.18,0.109,3.4e-06,0.198,0.934,81.163,212917,4,5
0.862,0.572,11,-9.934,0,0.0911,0.383,0.00178,0.108,0.293,90.031,166000,4,7
0.9,0.131,5,-11.378,1,0.0409,0.172,0.00363,0.0877,0.336,137.302,285321,3,6
0.561,0.481,3,-6.405,0,0.0593,0.584,6.62e-06,0.125,0.439,106.431,219987,3,6
0.588,0.41,8,-9.464,1,0.0844,0.335,6.48e-06,0.188,0.488,119.727,264015,3,6
0.779,0.541,5,-4.483,1,0.084,0.404,0.00284,0.348,0.42,90.017,186667,4,1
0.466,0.395,0,-8.641,1,0.0455,0.233,3.34e-05,0.13,0.225,77.323,284044,4,3
0.68,0.471,7,-10.056,1,0.199,0.25,0.0126,0.0986,0.281,93.096,276333,4,3
0.774,0.649,9,-7.648,0,0.0633,0.441,0.00724,0.0976,0.698,134.086,218057,4,7
0.925,0.598,6,-8.764,0,0.374,0.205,0.0,0.105,0.795,125.984,143000,4,10
0.729,0.621,9,-9.651,0,0.109,0.151,0.862,0.109,0.616,76.459,151500,4,9
0.922,0.428,10,-10.943,0,0.571,0.106,0.0,0.111,0.227,137.961,153056,4,10
0.737,0.53,5,-12.121,1,0.226,0.0322,4.33e-06,0.356,0.733,150.074,131082,4,10
0.792,0.461,8,-10.026,1,0.0843,0.495,0.0181,0.107,0.441,100.469,152836,4,1
0.846,0.398,8,-8.951,1,0.304,0.576,6.94e-06,0.139,0.628,118.241,146131,4,10
0.79,0.412,11,-13.115,0,0.322,0.136,0.0151,0.166,0.532,125.08,165120,4,10
0.672,0.484,11,-10.615,0,0.361,0.577,8.16e-06,0.101,0.256,172.105,146000,4,10
0.832,0.421,1,-10.563,1,0.3,0.0544,3.49e-05,0.115,0.183,75.065,155520,4,10
0.97,0.334,9,-12.563,1,0.258,0.0823,6.29e-05,0.11,0.0835,120.023,168072,4,10
